Title,product_id,ISSN print,ISSN electronic,Imprint,"PrimaryLanguage",Open Access,Comment,License,standard workflow July 18,"ProductionEditor"
BioDrugs,40259,1173-8804,1179-190X,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Pappichetty,Jayaprakash"
BioEnergy Research,12155,,1939-1242,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Asejo, Aila"
Biogeochemistry,10533,0168-2563,1573-515X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
Biogerontology,10522,1389-5729,1573-6768,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
Biologia,11756,,1336-9563,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Franco, Frank"
Biologia Plantarum,10535,0006-3134,1573-8264,Springer,English,Hybrid (Open Choice),"No longer published bySpringerNature as of completionof volume 62 (2018).",CC BY,non-standard,"Rentmeester,Esther"
Biological Cybernetics,422,0340-1200,1432-0770,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pappichetty,Jayaprakash"
Biological Invasions,10530,1387-3547,1573-1464,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
Biological Theory,13752,1555-5542,1555-5550,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Klijn, Marielle"
Biological Trace Element Research,12011,,1559-0720,Humana Press,English,Hybrid (Open Choice),,CC BY,standard,"Alejo, Mildred"
Biology and Fertility of Soils,374,0178-2762,1432-0789,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bajar, Mar-Jhon"
Biology & Philosophy,10539,0169-3867,1572-8404,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
Biomanufacturing Reviews,40898,2363-507X,2363-5088,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Kuebler, Andrea"
"Biomass Conversion andBiorefinery",13399,2190-6815,2190-6823,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fabe, Junlen"
"Biomechanics and Modeling inMechanobiology",10237,1617-7959,1617-7940,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
Biomedical Microdevices,10544,1387-2176,1572-8781,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faelnar, Jean"
BioMetals,10534,0966-0844,1572-8773,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lichtveld,Pauline"
Biomolecular NMR Assignments,12104,,1874-270X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
BioNanoScience,12668,2191-1630,2191-1649,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
"BioPhysical Economics andResource Quality",41247,2366-0112,2366-0120,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Raj, Vatsala"
Biophysical Reviews,12551,,1867-2469,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chavez, Shiela"
"Bioprocess and BiosystemsEngineering",449,1615-7591,1615-7605,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Balaji, Dhivya"
Biosemiotics,12304,1875-1342,1875-1350,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Lazar, Margit"
BIOspektrum,12268,0947-0867,1868-6249,Springer Spektrum,German,Hybrid (Open Choice),,CC BY,non-standard,"Schüller,Bernhard"
"Biotechnology and BioprocessEngineering",12257,1226-8372,1976-3816,"The Korean Society forBiotechnology andBioengineering, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Biotechnology Letters,10529,0141-5492,1573-6776,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
BIT Numerical Mathematics,10543,0006-3835,1572-9125,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
"Bollettino dell'UnioneMatematica Italiana",40574,1972-6724,2198-2759,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
The Botanical Review,12229,0006-8101,1874-9372,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Weaver, Janice"
Boundary-Layer Meteorology,10546,0006-8314,1573-1472,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
Brain Imaging and Behavior,11682,,1931-7565,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
Brain Structure and Function,429,1863-2653,1863-2661,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chinnasamy,Sathishkumar"
Brain Topography,10548,0896-0267,1573-6792,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shenbagam, S."
Brain Tumor Pathology,10014,1433-7398,1861-387X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
Brazilian Journal of Botany,40415,0100-8404,1806-9959,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
Brazilian Journal of Physics,13538,0103-9733,1678-4448,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Borgenicht, Jodi"
Breast Cancer,12282,1340-6868,1880-4233,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Babu,Saravanan"
"Breast Cancer Research andTreatment",10549,,1573-7217,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Polin, Joy"
Brittonia,12228,0007-196X,1938-436X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
Building Simulation,12273,1996-3599,1996-8744,"Tsinghua University Press, co-published with Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Bulletin of the BrazilianMathematical Society, New Series",574,1678-7544,1678-7714,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Schüller,Bernhard"
"Bulletin of EarthquakeEngineering",10518,1570-761X,1573-1456,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
"Bulletin of Engineering Geologyand the Environment",10064,1435-9529,1435-9537,Springer,English,Hybrid (Open Choice),,CC BY,standard,"WervoneAguilar, Andrew"
"Bulletin of EnvironmentalContamination and Toxicology",128,0007-4861,1432-0800,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramachandran,Bharathi"
"Bulletin of the IranianMathematical Society",41980,,1735-8515,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Weigel, Thomas"
"Bulletin of the MalaysianMathematical Sciences Society",40840,0126-6705,2180-4206,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
Bulletin of Mathematical Biology,11538,0092-8240,1522-9602,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
Bulletin of Volcanology,445,,1432-0819,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fabe, Junlen"
"Bundesgesundheitsblatt -Gesundheitsforschung -Gesundheitsschutz",103,1436-9990,1437-1588,Springer,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Frey, Holger"
"Business & Information SystemsEngineering",12599,2363-7005,1867-0202,Springer Vieweg,English,Hybrid (Open Choice),,CC BY,standard,"Litterer, Marina"
Calcified Tissue International,223,,1432-0827,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sathish, Malathi"
Calcolo,10092,0008-0624,1126-5434,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
"Calculus of Variations and PartialDifferential Equations",526,0944-2669,1432-0835,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Namperumal,Citra"
"Cambridge Journal of Evidence-Based Policing",41887,,2520-1336,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
"Canadian Journal ofAnesthesia/Journal canadiend'anesthésie",12630,0832-610X,1496-8975,Springer,English,Hybrid (Open Choice),,CC BY-NC,standard,"Weaver, Janice"
Canadian Journal of Public Health,41997,,1920-7476,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Cerami, Joe"
"Canadian Journal of Science,Mathematics and TechnologyEducation",42330,1492-6156,1942-4051,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Borgenicht, Jodi"
Cancer Causes & Control,10552,0957-5243,1573-7225,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Anitha, G. V."
"Cancer Chemotherapy andPharmacology",280,,1432-0843,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sundaram,Anburaj"
"Cancer Immunology,Immunotherapy",262,,1432-0851,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
Cancer and Metastasis Reviews,10555,0167-7659,1573-7233,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
Cancer Microenvironment,12307,,1875-2284,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
Carbonates and Evaporites,13146,0891-2556,1878-5212,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Singh, Albert"
Cardiovascular Drugs and Therapy,10557,0920-3206,1573-7241,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faelnar, Jean"
"Cardiovascular Intervention andTherapeutics",12928,1868-4300,1868-4297,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
"CardioVascular and InterventionalRadiology",270,0174-1551,1432-086X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Darnowsky,Robert"
Cardiovascular Toxicology,12012,,1559-0259,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jayaraj,Poongulazhali"
Catalysis Letters,10562,1011-372X,1572-879X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chandrasekar,Priya"
Catalysis Surveys from Asia,10563,1571-1013,1574-9266,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
"CCF Transactions on HighPerformance Computing",42514,2524-4922,2524-4930,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,non-standard,"Litterer, Marina"
CCF Transactions on Networking,42045,2520-8462,2520-8470,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Litterer, Marina"
"CCF Transactions on PervasiveComputing and Interaction",42486,2524-521X,2524-5228,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,non-standard,"Litterer, Marina"
CEAS Aeronautical Journal,13272,1869-5582,1869-5590,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dimler, Gertrud"
CEAS Space Journal,12567,1868-2502,1868-2510,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dimler, Gertrud"
"Celestial Mechanics andDynamical Astronomy",10569,0923-2958,1572-9478,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
Cell Biochemistry and Biophysics,12013,1085-9195,1559-0283,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
Cell Biology and Toxicology,10565,0742-2091,1573-6822,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
Cell Stress and Chaperones,12192,1355-8145,1466-1268,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
Cell and Tissue Banking,10561,1389-9333,1573-6814,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Cell and Tissue Research,441,0302-766X,1432-0878,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ariaga-Cabahug, LeahMae"
"Cellular and MolecularBioengineering",12195,,1865-5033,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Triner, Annette"
"Cellular and Molecular LifeSciences",18,1420-682X,1420-9071,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajendran,Thangeswari"
"Cellular and MolecularNeurobiology",10571,0272-4340,1573-6830,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pesala,Nandhini"
Cellular Oncology,13402,2211-3428,2211-3436,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Murphy,Catherine"
Cellulose,10570,0969-0239,1572-882X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
CEN Case Reports,13730,,2192-4449,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ganesan,Remya"
"Central European Journal ofOperations Research",10100,1435-246X,1613-9178,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
The Cerebellum,12311,1473-4222,1473-4230,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
Chemical Papers,11696,2585-7290,1336-9075,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Treiber, Petra"
Chemoecology,49,,1423-0445,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pappichetty,Jayaprakash"
Chemosensory Perception,12078,1936-5802,1936-5810,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
ChemTexts,40828,,2199-3793,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Treiber, Petra"
"Child and Adolescent Social WorkJournal",10560,0738-0151,1573-2797,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramachandran,Bharathi"
Child Indicators Research,12187,1874-897X,1874-8988,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jolbot, Michelle"
"Child Psychiatry & HumanDevelopment",10578,0009-398X,1573-3327,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ponnusamy,Ganesh"
Child & Youth Care Forum,10566,1053-1890,1573-3319,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ponnusamy,Ganesh"
Childhood Vulnerability Journal,41255,2520-8071,2520-808X,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Franco, Frank"
Children's Literature in Education,10583,0045-6713,1573-1693,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mani, Lavanya"
Child's Nervous System,381,0256-7040,1433-0350,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villarosa,Joseph"
China Foundry,41230,1672-6421,2365-9459,Springer,English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"China International StrategyReview",42533,2524-5627,2524-5635,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,non-standard,
"China Population andDevelopment Studies",42379,2096-448X,2523-8965,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Litterer, Marina"
China-EU Law Journal,12689,1868-5153,1868-5161,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vogel, Andreas"
Chinese Geographical Science,11769,1002-0063,1993-064X,"Science Press, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
"Chinese Journal of PolymerScience",10118,0256-7679,1439-6203,"Chinese Chemical Society andInstitute of Chemistry, CAS, co-published with Springer",English,Hybrid (Open Choice),,CC BY,non-standard,"Gotzmann,Volker"
Chinese Political Science Review,41111,2365-4244,2365-4252,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Litterer, Marina"
Der Chirurg,104,0009-4722,1433-0385,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,standard,"Kehl, Claudia"
Chromatographia,10337,0009-5893,1612-1112,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
Chromosoma,412,0009-5915,1432-0886,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ariaga-Cabahug, LeahMae"
Chromosome Research,10577,0967-3849,1573-6849,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jolbot, Michelle"
"Circuits, Systems, and SignalProcessing",34,0278-081X,1531-5878,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Baskaran,Jeevitha"
"Clean Technologies andEnvironmental Policy",10098,1618-954X,1618-9558,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gunasekaran,Kavitha"
Climate Dynamics,382,0930-7575,1432-0894,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chinnasamy,Sathishkumar"
Climatic Change,10584,0165-0009,1573-1480,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
Clinical Autonomic Research,10286,0959-9851,1619-1560,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bala, Senthil"
"Clinical Child and FamilyPsychology Review",10567,1096-4037,1573-2827,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Baskaran,Jeevitha"
Clinical Dentistry Reviewed,41894,,2511-1965,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Roseveare,David"
Clinical Drug Investigation,40261,1173-2563,1179-1918,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Shanmugam,Revathi"
"Clinical and ExperimentalMedicine",10238,,1591-9528,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sundaram,Anburaj"
"Clinical & ExperimentalMetastasis",10585,0262-0898,1573-7276,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
"Clinical and ExperimentalNephrology",10157,1342-1751,1437-7799,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ganesan,Remya"
"Clinical Journal ofGastroenterology",12328,1865-7257,1865-7265,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Babu,Saravanan"
Clinical Neuroradiology,62,1869-1439,1869-1447,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Muenzenmayer,Klaus"
Clinical Oral Investigations,784,1432-6981,1436-3771,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
Clinical Pharmacokinetics,40262,0312-5963,1179-1926,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Thiagaraj,Pressila"
Clinical Research in Cardiology,392,1861-0684,1861-0692,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Häseler,Angelika"
"Clinical Reviews in Allergy &Immunology",12016,,1559-0267,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
"Clinical Reviews in Bone andMineral Metabolism",12018,,1559-0119,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Janguin, Emilie"
Clinical Rheumatology,10067,0770-3198,1434-9949,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bajar, Mar-Jhon"
Clinical Social Work Journal,10615,0091-1674,1573-3343,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Baskaran,Jeevitha"
Clinical and Translational Imaging,40336,,2281-7565,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Roseveare,David"
"Clinical and TranslationalOncology",12094,,1699-3055,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Hart, Kerstin"
Cliometrica,11698,1863-2505,1863-2513,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Varghese,Beulah"
Cluster Computing,10586,1386-7857,1573-7543,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Inbasigamoni,Velmuguran"
CNS Drugs,40263,1172-7047,1179-1934,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Shanmugam,Revathi"
"Cognition, Technology & Work",10111,1435-5558,1435-5566,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gaur, Sumintra"
"Cognitive, Affective, & BehavioralNeuroscience",13415,1530-7026,1531-135X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Langlois, James"
Cognitive Computation,12559,,1866-9964,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Janguin, Emilie"
