Title,product_id,ISSN print,ISSN electronic,Imprint,"Primary Language",Open Access,Comment,License,Main discipline,"Production Editor"
Multimedia Systems,530,0942-4962,1432-1882,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Ahmed, Sadat"
"Multimedia Tools and Applications",11042,1380-7501,1573-7721,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Gerona, Razel"
"Multiscale and Multidisciplinary Modeling, Experiments and Design",41939,2520-8160,2520-8179,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,Engineering,"Winter- Todorov, Christiane"
"Multiscale Science and Engineering",42493,2524-4515,2524-4523,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,Engineering,"Dilger, Julia"
MUSCULOSKELETAL SURGERY,12306,,2035-5114,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Sundaram, Anburaj"
Mycological Progress,11557,,1861-8952,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Ariaga- Cabahug, Leah Mae"
Mycopathologia,11046,0301-486X,1573-0832,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Arcot, Shrivatsan"
Mycorrhiza,572,0940-6360,1432-1890,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Bajar, Mar-Jhon"
Mycotoxin Research,12550,0178-7888,1867-1632,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Badon, Journaliz"
"NachhaltigkeitsManagementForu m | Sustainability Management Forum",550,2522-5987,2522-5995,Springer,German,Hybrid (Open Choice),,CC BY,Economics,"Daum, Jutta"
Nano Research,12274,1998-0124,1998-0000,"Tsinghua University Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,"Materials Science","Gotzmann, Volker"
NanoEthics,11569,1871-4757,1871-4765,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Parcon, Jennyca"
"Nanomanufacturing and Metrology",41871,2520-811X,2520-8128,"International Society for Nanomanufacturing and Tianjin University, co-published with Springer",English,Hybrid (Open Choice),New Start in 2018.,CC BY,Engineering,"Daum, Jutta"
"Nanotechnology for Environmental Engineering",41204,2365-6379,2365-6387,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Dimler, Gertrud"
National Academy Science Letters,40009,0250-541X,2250-1754,Springer,English,Hybrid (Open Choice),,CC BY,"Science, Humanities and Social Sciences, multidisciplinar y","Maharajan, Suganya"
Natur und Recht,10357,0172-1631,1439-0515,Springer,German,Hybrid (Open Choice),,CC BY,Law,"Uhl, Beate"
Natural Computing,11047,,1572-9796,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Somasundaram, Aravind"
"Natural Language & Linguistic Theory",11049,0167-806X,1573-0859,Springer,English,Hybrid (Open Choice),,CC BY,Linguistics,"Pieren, Eric"
Natural Language Semantics,11050,0925-854X,1572-865X,Springer,English,Hybrid (Open Choice),,CC BY,Linguistics,"Selvaraj, Devi"
Natural Resources Research,11053,1520-7439,1573-8981,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Pesala, Nandhini"
"Naunyn-Schmiedeberg's Archives of Pharmacology",210,0028-1298,1432-1912,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Ariaga- Cabahug, Leah Mae"
Neohelicon,11059,0324-4652,1588-2810,"Akadémiai Kiadó, co-published with Springer",English,Hybrid (Open Choice),,CC BY,Literature,"Pieren, Eric"
Neophilologus,11061,0028-2677,1572-8668,Springer,English,Hybrid (Open Choice),,CC BY,Linguistics,"Fathima, Jasmine"
Neotropical Entomology,13744,1519-566X,1678-8052,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Lichtveld, Pauline"
Der Nephrologe,11560,1862-040X,1862-0418,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Leader, Marion"
Der Nervenarzt,115,0028-2804,1433-0407,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Meyer-Vom Hagen, Petra"
"Netherlands International Law Review",40802,0165-070X,1741-6191,Springer,English,Hybrid (Open Choice),,CC BY,Law,"Vogel, Andreas"
"NETNOMICS: Economic Research and Electronic Networking",11066,1385-9587,1573-7071,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Villahermosa, Dennis"
"Network Modeling Analysis in Health Informatics and Bioinformatics",13721,,2192-6670,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Namperumal, Citra"
Networks and Spatial Economics,11067,1566-113X,1572-9427,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Janguin, Emilie"
Neue Politische Literatur,42520,0028-3320,,Springer VS,German,Hybrid (Open Choice),Take-over in 2019.,CC BY,History,"Schneider, Isabell"
"Neural Computing and Applications",521,0941-0643,1433-3058,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Dharmalingam, Shivaraman"
Neural Processing Letters,11063,1370-4621,1573-773X,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Selvaraj, Devi"
Neurochemical Research,11064,0364-3190,1573-6903,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Mani, Lavanya"
Neurocritical Care,12028,1541-6933,1556-0961,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Langlois, James"
Neuroethics,12152,,1874-5504,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Jolbot, Michelle"
neurogenetics,10048,1364-6745,1364-6753,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Ariaga- Cabahug, Leah Mae"
Neuroinformatics,12021,1539-2791,1559-0089,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Nieves, Jona Rose Delos"
Neurological Sciences,10072,,1590-3478,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Pinero, Marlon"
NeuroMolecular Medicine,12017,1535-1084,1559-1174,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Raj, Vatsala"
neuropsychiatrie,40211,0948-6259,2194-1327,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Scheuermann, Ria"
Neuropsychology Review,11065,1040-7308,1573-6660,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Torres, Jurgen"
Neuroradiology,234,0028-3940,1432-1920,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Pinero, Marlon"
Neuroscience Bulletin,12264,1673-7067,1995-8218,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, co-published with Springer",English,Hybrid (Open Choice),,CC BY,Biomedicine,"Dayanand, Antony"
Neurosurgical Review,10143,,1437-2320,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Badon, Journaliz"
Neurotherapeutics,13311,,1878-7479,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Triner, Annette"
Neurotoxicity Research,12640,1029-8428,1476-3524,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Cataylo, Arlie"
New Forests,11056,0169-4286,1573-5095,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Parasuraman, Baskaran"
New Generation Computing,354,0288-3635,1882-7055,"Ohmsha, co-published with Springer",English,Hybrid (Open Choice),,CC BY,"Computer Science","Ganesan, Remya"
"New Zealand Journal of Educational Studies",40841,0028-8276,2199-4714,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Dixit, Amit"
"Nonlinear Differential Equations and Applications NoDEA",30,1021-9722,1420-9004,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Mathematics,"Ramanathan, Elangovan"
Nonlinear Dynamics,11071,0924-090X,1573-269X,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Faber, Meertinus"
Notfall +  Rettungsmedizin,10049,1434-6222,1436-0578,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Meyer-Vom Hagen, Petra"
"NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin",48,0036-6978,1420-9144,Birkhäuser,German,Hybrid (Open Choice),,CC BY,History,"Uhl, Beate"
"Nuclear Medicine and Molecular Imaging",13139,1869-3474,1869-3482,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Roseveare, David"
Nuclear Science and Techniques,41365,1001-8042,2210-3147,"Science Press, co-published with Springer",English,Hybrid (Open Choice),,CC BY,Energy,"Dayanand, Antony"
The Nucleus,13237,0029-568X,0976-7975,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Nair, Abilash"
Numerical Algorithms,11075,1017-1398,1572-9265,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Villahermosa, Dennis"
Numerische Mathematik,211,0029-599X,0945-3245,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Ahmed, Sadat"
"Nutrient Cycling in Agroecosystems",10705,1385-1314,1573-0867,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Thilagam, Kasturi"
Obere Extremität,11678,1862-6599,1862-6602,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Frey, Holger"
Obesity Surgery,11695,0960-8923,1708-0428,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Maged, Robert"
Occupational Health Science,41542,2367-0134,2367-0142,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Lazar, Margit"
Ocean Dynamics,10236,1616-7341,1616-7228,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Fabe, Junlen"
Ocean Science Journal,12601,1738-5261,2005-7172,"Korea Institute of Ocean Science & Technology and The Korean Society of Oceanography, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Gotzmann, Volker"
Odontology,10266,1618-1247,1618-1255,Springer,English,Hybrid (Open Choice),,CC BY,Dentistry,"Stella, Angeline"
Oecologia,442,0029-8549,1432-1939,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Singh, Albert"
Der Onkologe,761,0947-8965,1433-0415,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Frey, Holger"
Open Economies Review,11079,0923-7992,1573-708X,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Pis-an, Maria Cathelyn"
Operational Research,12351,,1866-1505,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Shanmugam, Revathi"
"Operations Management Research",12063,,1936-9743,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Pis-an, Maria Cathelyn"
"Operative Orthopädie und Traumatologie",64,0934-6694,1439-0981,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Kehl, Claudia"
Der Ophthalmologe,347,0941-293X,1433-0423,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Jung, Amelie"
OPSEARCH,12597,0030-3887,0975-0320,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Nair, Abilash"
Optical and Quantum Electronics,11082,0306-8919,1572-817X,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Thilagam, Kasturi"
Optical Review,10043,,1349-9432,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Jeyaraj, Aravindhan"
Optimization and Engineering,11081,1389-4420,1573-2924,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Fathima, Jasmine"
Optimization Letters,11590,1862-4472,1862-4480,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Balaji, Dhivya"
OR Spectrum,291,0171-6468,1436-6304,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Gaur, Sumintra"
Oral Cancer,41548,,2509-8837,Springer,English,Hybrid (Open Choice),,CC BY,Dentistry,"Scheuermann, Ria"
Oral and Maxillofacial Surgery,10006,,1865-1569,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Badon, Journaliz"
Oral Radiology,11282,0911-6028,1613-9674,Springer,English,Hybrid (Open Choice),,CC BY,Dentistry,"Somasundaram, Aravind"
Order,11083,0167-8094,1572-9273,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Mortillero, Jill"
"Organisationsberatung, Supervision, Coaching",11613,1618-808X,1862-2577,Springer,German,Hybrid (Open Choice),,CC BY,Psychology,"Litterer, Marina"
Organisms Diversity & Evolution,13127,1439-6092,1618-1077,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Bajar, Mar-Jhon"
"Organizational Design and Enterprise Engineering",41251,2367-3567,2367-3575,Springer,English,Hybrid (Open Choice),"Ceases publication after completion of Vol. 2 (2018).",CC BY,"Computer Science","Uhl, Beate"
"Oriental Pharmacy and Experimental Medicine",13596,1598-2386,2211-1069,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Sekar, Anu"
"Origins of Life and Evolution of Biospheres",11084,0169-6149,1573-0875,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Mercullo, Kenneth"
Der Orthopäde,132,0085-4530,1433-0431,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Hart, Kerstin"
"Österreichische Wasser- und Abfallwirtschaft",506,0945-358X,1613-7566,Springer,German,Hybrid (Open Choice),,CC BY,Engineering,"Leader, Marion"
"Österreichische Zeitschrift für Soziologie",11614,1011-0070,1862-2585,Springer VS,German,Hybrid (Open Choice),,CC BY,Social Sciences,"Litterer, Marina"
Oxidation of Metals,11085,0030-770X,1573-4889,Springer,English,Hybrid (Open Choice),,CC BY,"Materials Science","Ponnusamy, Ganesh"
Paddy and Water Environment,10333,1611-2490,1611-2504,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Arcot, Shrivatsan"
Pädiatrie & Pädologie,608,0030-9338,1613-7558,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Wagner, Anna"
"Palaeobiodiversity and Palaeoenvironments",12549,1867-1594,1867-1608,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Muenzenmayer, Klaus"
PalZ,12542,0031-0220,1867-6812,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Varghese, Beulah"
Parasitology Research,436,0932-0113,1432-1955,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Badon, Journaliz"
Pastoral Psychology,11089,0031-2789,1573-6679,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Panday, Leonora"
Der Pathologe,292,0172-8113,1432-1963,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Meyer-Vom Hagen, Petra"
Pathology & Oncology Research,12253,1219-4956,1532-2807,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Jolbot, Michelle"
Pattern Analysis and Applications,10044,1433-7541,1433-755X,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Ahmed, Sadat"
Pediatric Cardiology,246,0172-0643,1432-1971,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Inbasigamoni, Velmuguran"
Pediatric Nephrology,467,0931-041X,1432-198X,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Jung, Amelie"
Pediatric Radiology,247,0301-0449,1432-1998,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Pinero, Marlon"
Pediatric Surgery International,383,0179-0358,1437-9813,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Ratnabai, Sumathi"
"Peer-to-Peer Networking and Applications",12083,,1936-6450,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Gramatica, Rosario"
Peking Mathematical Journal,42543,,,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,Mathematics,
Periodica Mathematica Hungarica,10998,0031-5303,1588-2829,"Akadémiai Kiadó, co-published with Springer",English,Hybrid (Open Choice),,CC BY,Mathematics,"Pieren, Eric"
"Personal and Ubiquitous Computing",779,1617-4909,1617-4917,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Marino, Irish"
"PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science",41064,2512-2789,2512-2819,Springer,English,Hybrid (Open Choice),,CC BY,Geography,"Daum, Jutta"
"Pflügers Archiv - European Journal of Physiology",424,0031-6768,1432-2013,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Pinero, Marlon"
Pharmaceutical Research,11095,0724-8741,1573-904X,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Darnowsky, Robert"
"Phenomenology and the Cognitive Sciences",11097,1568-7759,1572-8676,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Boy Cutamora, Barney"
Philosophia,11406,0048-3893,1574-9274,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Mortillero, Jill"
Philosophical Studies,11098,0031-8116,1573-0883,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Fathima, Jasmine"
Philosophy of Management,40926,1740-3812,2052-9597,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Vloemans, Hermine"
Philosophy & Technology,13347,2210-5433,2210-5441,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Boy Cutamora, Barney"
"Photonic Network Communications",11107,1387-974X,1572-8188,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Devakumar, Radika"
Photosynthetica,11099,0300-3604,1573-9058,Springer,English,Hybrid (Open Choice),"No longer published by SpringerNature as of completion of volume 56 (2018).",CC BY,Life Sciences,"Rentmeester, Esther"
Physics and Chemistry of Minerals,269,0342-1791,1432-2021,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Rajagopal, Balaji"
Physics in Perspective,16,1422-6944,1422-6960,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Physics,"Weigel, Thomas"
Phytochemistry Reviews,11101,1568-7767,1572-980X,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Selvaraj, Devi"
Phytoparasitica,12600,0334-2123,1876-7184,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Macajelos, Juvy"
Pituitary,11102,1386-341X,1573-7403,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Baskaran, Jeevitha"
Plant Biotechnology Reports,11816,,1863-5474,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Stella, Angeline"
Plant Cell Reports,299,0721-7714,1432-203X,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Bala, Senthil"
"Plant Cell, Tissue and Organ Culture (PCTOC)",11240,0167-6857,1573-5044,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Faber, Meertinus"
Plant Ecology,11258,1385-0237,1573-5052,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Selvaraj, Ambiga"
Plant Foods for Human Nutrition,11130,0921-9668,1573-9104,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Janguin, Emilie"
Plant Growth Regulation,10725,0167-6903,1573-5087,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Anitha, G. V."
Plant Molecular Biology,11103,0167-4412,1573-5028,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Lichtveld, Pauline"
Plant Molecular Biology Reporter,11105,0735-9640,1572-9818,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Bascon, Yvette"
Plant Reproduction,497,2194-7953,2194-7961,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Pappichetty, Jayaprakash"
Plant and Soil,11104,0032-079X,1573-5036,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Macajelos, Juvy"
Plant Systematics and Evolution,606,0378-2697,2199-6881,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Bala, Senthil"
Planta,425,0032-0935,1432-2048,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Pappichetty, Jayaprakash"
"Plasma Chemistry and Plasma Processing",11090,0272-4324,1572-8986,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Devakumar, Radika"
Plasmonics,11468,,1557-1963,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Faelnar, Jean"
Der Pneumologe,10405,1613-5636,1613-6055,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Scheuermann, Ria"
Polar Biology,300,0722-4060,1432-2056,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Franco, Frank"
Policy Sciences,11077,0032-2687,1573-0891,Springer,English,Hybrid (Open Choice),,CC BY,"Political Science and International Relations","Thilagam, Kasturi"
Political Behavior,11109,0190-9320,1573-6687,Springer,English,Hybrid (Open Choice),,CC BY,"Political Science and International Relations","Sathish, Malathi"
Politische Vierteljahresschrift,11615,0032-3470,1862-2860,Springer VS,German,Hybrid (Open Choice),Take-over in 2018.,CC BY,Social Sciences,"Vogel, Andreas"
Polymer Bulletin,289,0170-0839,1436-2449,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Gaur, Sumintra"
Polytechnica,41050,2520-8497,2520-8063,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,Engineering,"Darnowsky, Robert"
Population Ecology,10144,1438-3896,1438-390X,Springer,English,Hybrid (Open Choice),"No longer published by SpringerNature as of completion of Vol. 60 (2018).",CC BY,Life Sciences,"Dayanand, Antony"
Population and Environment,11111,0199-0039,1573-7810,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Delgado, Melissa"
"Population Research and Policy Review",11113,0167-5923,1573-7829,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Arcot, Shrivatsan"
Portuguese Economic Journal,10258,1617-982X,1617-9838,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Marabillo, Annalyn"
Positivity,11117,1385-1292,1572-9281,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Mathematics,"Vijayaraghunat han, Preetha"
Postdigital Science and Education,42438,2524-485X,2524-4868,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,Education,
Potato Research,11540,0014-3065,1871-4528,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Villahermosa, Aimee"
Potential Analysis,11118,0926-2601,1572-929X,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Mortillero, Jill"
Precision Agriculture,11119,1385-2256,1573-1618,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Shenbagam, S."
Prevention Science,11121,1389-4986,1573-6695,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Alejo, Mildred"
Primates,10329,0032-8332,1610-7365,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Babu, Saravanan"
"Probability Theory and Related Fields",440,0178-8051,1432-2064,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Vijayaraghunat han, Preetha"
"Probiotics and Antimicrobial Proteins",12602,,1867-1314,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Janguin, Emilie"
ProCare,735,0949-7323,1613-7574,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Kammerer, Philipp"
"Proceedings of the National Academy of Sciences, India Section A: Physical Sciences",40010,0369-8203,2250-1762,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Maharajan, Suganya"
"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",40011,0369-8211,2250-1746,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Muthulakshmi, S."
"Process Integration and Optimization for Sustainability",41660,2509-4238,2509-4246,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Franco, Frank"
Production Engineering,11740,0944-6524,1863-7353,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Weigel, Thomas"
"Progress in Additive Manufacturing",40964,2363-9512,2363-9520,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Kuebler, Andrea"
Progress in Artificial Intelligence,13748,2192-6352,2192-6360,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Uhl, Beate"
PROSPECTS,11125,0033-1538,1573-9090,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Lazar, Margit"
The Protein Journal,10930,1572-3887,1573-4943,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Ramachandran, Bharathi"
Protoplasma,709,0033-183X,1615-6102,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Wervone Aguilar, Andrew"
Psychiatric Quarterly,11126,0033-2720,1573-6709,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Janguin, Emilie"
Psychological Injury and Law,12207,,1938-9728,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Pis-an, Maria Cathelyn"
The Psychological Record,40732,0033-2933,2163-3452,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Darnowsky, Robert"
Psychological Research,426,0340-0727,1430-2772,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Ahmed, Sadat"
Psychological Studies,12646,0033-2968,0974-9861,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Nair, Abilash"
Psychonomic Bulletin & Review,13423,1069-9384,1531-5320,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Davis, Jeff"
Psychopharmacology,213,0033-3158,1432-2072,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Badon, Journaliz"
psychopraxis. neuropraxis,739,2197-9707,2197-9715,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Scheuermann, Ria"
Psychotherapeut,278,0935-6185,1432-2080,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,Psychology,"Scheuermann, Ria"
Public Choice,11127,0048-5829,1573-7101,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Pieren, Eric"
Public Organization Review,11115,1566-7170,1573-7098,Springer,English,Hybrid (Open Choice),,CC BY,"Political Science and International Relations","Duning, Renante"
Public Transport,12469,,1613-7159,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Weigel, Thomas"
Publishing Research Quarterly,12109,1053-8801,1936-4792,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Darnowsky, Robert"
Publizistik,11616,0033-4006,1862-2569,Springer VS,German,Hybrid (Open Choice),,CC BY,Social Sciences,"Dilger, Julia"
Pure and Applied Geophysics,24,0033-4553,1420-9136,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Hofrichter, Patricia"
Purinergic Signalling,11302,,1573-9546,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Mercullo, Kenneth"
Qualitative Sociology,11133,0162-0436,1573-7837,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Asejo, Aila"
"Qualitative Theory of Dynamical Systems",12346,,1662-3592,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Mathematics,"Shanmugam, Revathi"
Quality of Life Research,11136,0962-9343,1573-2649,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Gunasekaran, Kavitha"
Quality and User Experience,41233,2366-0139,2366-0147,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Kuebler, Andrea"
Quantitative Biology,40484,,2095-4697,"Higher Education Press, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Life Sciences,"Gotzmann, Volker"
"Quantitative Marketing and Economics",11129,1570-7156,1573-711X,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Gramatica, Rosario"
Quantum Information Processing,11128,1570-0755,1573-1332,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Chandrasekar, Priya"
Quantum Machine Intelligence,42484,2524-4906,2524-4914,Springer,English,Hybrid (Open Choice),New Start in 2019.,CC BY,Engineering,"Hofrichter, Patricia"
"Quantum Studies: Mathematics and Foundations",40509,2196-5609,2196-5617,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Mathematics,"Uhl, Beate"
