Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
Neotropical Entomology,PE OF S,13744,1519-566X,1678-8052,Springer,English,1,48,6,Hybrid (Open Choice),
Der Nephrologe,PE,11560,1862-040X,1862-0418,SpringerMedizin,German,1,14,6,Hybrid (Open Choice),
Der Nervenarzt,PE,115,0028-2804,1433-0407,SpringerMedizin,German,1,90,12,Hybrid (Open Choice),
Netherlands International Law Review,PE OF,40802,0165-070X,1741-6191,Springer,English,1,66,3,Hybrid (Open Choice),Subscription includes the Netherlands Yearbook of International Law. 
NETNOMICS: Economic Research and Electronic Networking,PE OF,11066,1385-9587,1573-7071,Springer,English,1,20,3,Hybrid (Open Choice),
Network Modeling Analysis in Health Informatics and Bioinformatics,E C,13721,,2192-6670,Springer,English,1,8,1,Hybrid (Open Choice),
Networks and Spatial Economics,PE OF,11067,1566-113X,1572-9427,Springer,English,1,19,4,Hybrid (Open Choice),
Neue Politische Literatur,PE,42520,0028-3320,2197-6082,Springer VS,German,1,64,3,Hybrid (Open Choice),Erratum Journals List: Price amendment of Institutional Rate e-only. Take-over in 2019. Former publisher: Peter Lang Verlag. 
Neural Computing and Applications,PE OF,521,0941-0643,1433-3058,Springer,English,1,31,12,Hybrid (Open Choice),
Neural Processing Letters,PE OF,11063,1370-4621,1573-773X,Springer,English,2,49-50,3,Hybrid (Open Choice),
Neurochemical Research,PE OF S,11064,0364-3190,1573-6903,Springer,English,1,44,12,Hybrid (Open Choice),
Neurocritical Care,PE OF,12028,1541-6933,1556-0961,Springer,English,2,30-31,3,Hybrid (Open Choice),
Neuroethics,E OF,12152,,1874-5504,Springer,English,1,12,3,Hybrid (Open Choice),
neurogenetics,PE OF S,10048,1364-6745,1364-6753,Springer,English,1,20,4,Hybrid (Open Choice),
Neuroinformatics,PE OF S,12021,1539-2791,1559-0089,Springer,English,1,17,4,Hybrid (Open Choice),
Neurological Sciences,E OF S,10072,,1590-3478,Springer,English,1,40,12,Hybrid (Open Choice),
NeuroMolecular Medicine,PE OF S,12017,1535-1084,1559-1174,Springer,English,1,21,4,Hybrid (Open Choice),
neuropsychiatrie,PE OF,40211,0948-6259,2194-1327,SpringerMedizin,German,1,33,4,Hybrid (Open Choice),
Neuropsychology Review,PE OF,11065,1040-7308,1573-6660,Springer,English,1,29,4,Hybrid (Open Choice),
Neuropsychopharmacology,PE,41386,0893-133X,1740-634X,Springer Nature,English,1,44,13,Hybrid (Open Choice),Online version only available through an institutional license. 
Neuroradiology,PE OF S,234,0028-3940,1432-1920,Springer,English,1,61,12,Hybrid (Open Choice),
Neuroscience Bulletin,PE OF,12264,1673-7067,1995-8218,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, co-published with Springer",English,1,35,6,Hybrid (Open Choice),Chinese Library of Science. 
Neurosurgical Review,E OF S,10143,,1437-2320,Springer,English,1,42,4,Hybrid (Open Choice),
Neurotherapeutics,E,13311,,1878-7479,Springer,English,1,16,4,Hybrid (Open Choice),Print subscription no longer available. 
Neurotoxicity Research,PE OF S,12640,1029-8428,1476-3524,Springer,English,2,35-36,4,Hybrid (Open Choice),
New Forests,PE OF,11056,0169-4286,1573-5095,Springer,English,1,50,6,Hybrid (Open Choice),
New Generation Computing,PE,354,0288-3635,1882-7055,"Ohmsha, co-published with Springer",English,1,37,4,Hybrid (Open Choice),
New Zealand Journal of Educational Studies,PE OF,40841,0028-8276,2199-4714,Springer,English,1,54,2,Hybrid (Open Choice),
Nexus Network Journal,PE OF,4,1590-5896,1522-4600,Birkhäuser,English,1,21,3,Hybrid (Open Choice),
Nonlinear Differential Equations and Applications NoDEA,PE C,30,1021-9722,1420-9004,Birkhäuser,English,1,26,6,Hybrid (Open Choice),
Nonlinear Dynamics,PE OF,11071,0924-090X,1573-269X,Springer,English,4,95-98,4,Hybrid (Open Choice),
Notfall +  Rettungsmedizin,PE OF S,10049,1434-6222,1436-0578,SpringerMedizin,German,1,22,8,Hybrid (Open Choice),
"NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin",PE OF,48,0036-6978,1420-9144,Birkhäuser,German,1,27,4,Hybrid (Open Choice),
Nuclear Medicine and Molecular Imaging,PE OF S,13139,1869-3474,1869-3482,Springer,English,1,53,6,Hybrid (Open Choice),
Nuclear Science and Techniques,PE C,41365,1001-8042,2210-3147,"Science Press, co-published with Springer",English,1,30,12,Hybrid (Open Choice),"Chinese Library of Science. Exclusive Distribution rights for print version outside Mainland China, for electronic version worldwide. "
The Nucleus,PE OF,13237,0029-568X,0976-7975,Springer,English,1,62,3,Hybrid (Open Choice),
Numerical Algorithms,PE OF,11075,1017-1398,1572-9265,Springer,English,3,80-82,4,Hybrid (Open Choice),
Numerische Mathematik,PE OF S,211,0029-599X,0945-3245,Springer,English,3,141-143,4,Hybrid (Open Choice),
Nutrient Cycling in Agroecosystems,PE OF,10705,1385-1314,1573-0867,Springer,English,3,113-115,3,Hybrid (Open Choice),
Obere Extremität,PE OF S,11678,1862-6599,1862-6602,SpringerMedizin,German,1,14,4,Hybrid (Open Choice),
Obesity Surgery,PE OF,11695,0960-8923,1708-0428,Springer,English,1,29,12,Hybrid (Open Choice),
Occupational Health Science,PE OF,41542,2367-0134,2367-0142,Springer,English,1,3,4,Hybrid (Open Choice),
Ocean Dynamics,PE OF S,10236,1616-7341,1616-7228,Springer,English,1,69,12,Hybrid (Open Choice),
Ocean Science Journal,PE OF,12601,1738-5261,2005-7172,"Korea Institute of Ocean Science & Technology and The Korean Society of Oceanography, co-published with Springer",English,1,54,4,Hybrid (Open Choice),Korean Program. 
Odontology,PE OF S,10266,1618-1247,1618-1255,Springer,English,1,107,4,Hybrid (Open Choice),
Oecologia,PE OF S,442,0029-8549,1432-1939,Springer,English,3,189-191,4,Hybrid (Open Choice),
Oncogene,PE,41388,0950-9232,1476-5594,Springer Nature,English,1,38,50,Hybrid (Open Choice),Online version only available through an institutional license. 
Der Onkologe,PE OF S,761,0947-8965,1433-0415,SpringerMedizin,German,1,25,12,Hybrid (Open Choice),
Open Economies Review,PE OF,11079,0923-7992,1573-708X,Springer,English,1,30,5,Hybrid (Open Choice),
Operational Research,E,12351,,1866-1505,Springer,English,1,19,4,Hybrid (Open Choice),
Operations Management Research,E OF,12063,,1936-9743,Springer,English,1,12,4,Hybrid (Open Choice),
Operative Orthopädie und Traumatologie,PE OF S,64,0934-6694,1439-0981,SpringerMedizin,German,1,31,6,Hybrid (Open Choice),
Der Ophthalmologe,PE OF S,347,0941-293X,1433-0423,SpringerMedizin,German,1,116,12,Hybrid (Open Choice),
OPSEARCH,PE OF,12597,0030-3887,0975-0320,Springer,English,1,56,4,Hybrid (Open Choice),
Optical and Quantum Electronics,PE C,11082,0306-8919,1572-817X,Springer,English,1,51,12,Hybrid (Open Choice),
Optical Review,E OF,10043,,1349-9432,Springer,English,1,26,6,Hybrid (Open Choice),
Optimization and Engineering,PE OF,11081,1389-4420,1573-2924,Springer,English,1,20,4,Hybrid (Open Choice),
Optimization Letters,PE OF,11590,1862-4472,1862-4480,Springer,English,1,13,8,Hybrid (Open Choice),
OR Spectrum,PE OF,291,0171-6468,1436-6304,Springer,English,1,41,4,Hybrid (Open Choice),
Oral Cancer,E OF S,41548,,2509-8837,Springer,English,1,3,4,Hybrid (Open Choice),Available in electronic format only. 
Oral and Maxillofacial Surgery,E OF S,10006,,1865-1569,Springer,English,1,23,4,Hybrid (Open Choice),
Oral Radiology,PE OF S,11282,0911-6028,1613-9674,Springer,English,1,35,3,Hybrid (Open Choice),
Order,PE OF,11083,0167-8094,1572-9273,Springer,English,1,36,3,Hybrid (Open Choice),
Organic Agriculture,PE OF,13165,1879-4238,1879-4246,Springer,English,1,9,4,Hybrid (Open Choice),
"Organisationsberatung, Supervision, Coaching",PE OF S,11613,1618-808X,1862-2577,Springer,German,1,26,4,Hybrid (Open Choice),
Organisms Diversity & Evolution,PE OF S,13127,1439-6092,1618-1077,Springer,English,1,19,4,Hybrid (Open Choice),
Oriental Pharmacy and Experimental Medicine,PE OF S,13596,1598-2386,2211-1069,Springer,English,1,19,4,Hybrid (Open Choice),
Origins of Life and Evolution of Biospheres,PE OF S,11084,0169-6149,1573-0875,Springer,English,1,49,4,Hybrid (Open Choice),
Der Orthopäde,PE OF,132,0085-4530,1433-0431,SpringerMedizin,German,1,48,12,Hybrid (Open Choice),
Osteoporosis International,PE OF,198,0937-941X,1433-2965,Springer,English,1,30,12,Hybrid (Open Choice),
Österreichische Wasser- und Abfallwirtschaft,PE OF,506,0945-358X,1613-7566,Springer,German,1,71,12,Hybrid (Open Choice),Special price for postage & handling for customers in Austria. 
Österreichische Zeitschrift für Soziologie,PE,11614,1011-0070,1862-2585,Springer VS,German,1,44,4,Hybrid (Open Choice),
Oxidation of Metals,PE OF,11085,0030-770X,1573-4889,Springer,English,2,91-92,6,Hybrid (Open Choice),
Paddy and Water Environment,PE OF S,10333,1611-2490,1611-2504,Springer,English,1,17,4,Hybrid (Open Choice),
Pädiatrie & Pädologie,PE OF,608,0030-9338,1613-7558,SpringerMedizin,German,1,54,6,Hybrid (Open Choice),Special price for postage & handling for customers in Austria. 
Palaeobiodiversity and Palaeoenvironments,PE OF S,12549,1867-1594,1867-1608,Springer,English,1,99,4,Hybrid (Open Choice),
PalZ,PE OF S,12542,0031-0220,1867-6812,Springer,English,1,93,4,Hybrid (Open Choice),
Parasitology Research,PE OF S,436,0932-0113,1432-1955,Springer,English,1,118,12,Hybrid (Open Choice),
Pastoral Psychology,PE OF,11089,0031-2789,1573-6679,Springer,English,1,68,6,Hybrid (Open Choice),
Der Pathologe,PE OF,292,0172-8113,1432-1963,SpringerMedizin,German,1,40,6,Hybrid (Open Choice),
Pathology & Oncology Research,PE OF,12253,1219-4956,1532-2807,Springer,English,1,25,4,Hybrid (Open Choice),
The Patient - Patient-Centered Outcomes Research,PE OF,40271,1178-1653,1178-1661,Adis,English,1,12,6,Hybrid (Open Choice),
Pattern Analysis and Applications,PE OF,10044,1433-7541,1433-755X,Springer,English,1,22,4,Hybrid (Open Choice),
Pediatric Cardiology,PE OF S,246,0172-0643,1432-1971,Springer,English,1,40,8,Hybrid (Open Choice),
Pediatric Drugs,PE OF,40272,1174-5878,1179-2019,Adis,English,1,21,6,Hybrid (Open Choice),
Pediatric Nephrology,PE OF S,467,0931-041X,1432-198X,Springer,English,1,34,12,Hybrid (Open Choice),
Pediatric Radiology,PE OF S,247,0301-0449,1432-1998,Springer,English,1,49,13,Hybrid (Open Choice),
Pediatric Research,PE,41390,0031-3998,1530-0447,Springer Nature,English,2,85-86,6,Hybrid (Open Choice),Online version only available through an institutional license. 
Pediatric Surgery International,PE OF S,383,0179-0358,1437-9813,Springer,English,1,35,12,Hybrid (Open Choice),
Peer-to-Peer Networking and Applications,E OF,12083,,1936-6450,Springer,English,1,12,6,Hybrid (Open Choice),
Peking Mathematical Journal,PE,42543,2096-6075,2524-7182,Springer,English,1,2,2,Hybrid (Open Choice),Addendum Journals List: New Start in 2018. 
Periodica Mathematica Hungarica,PE OF,10998,0031-5303,1588-2829,"Akadémiai Kiadó, co-published with Springer",English,2,78-79,2,Hybrid (Open Choice),
Personal and Ubiquitous Computing,PE OF,779,1617-4909,1617-4917,Springer,English,1,23,6,Hybrid (Open Choice),
"PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science",PE OF S,41064,2512-2789,2512-2819,Springer,English,1,87,6,Hybrid (Open Choice),
Pflügers Archiv - European Journal of Physiology,PE OF S,424,0031-6768,1432-2013,Springer,English,1,471,12,Hybrid (Open Choice),
Pharmaceutical Medicine,PE OF,40290,1178-2595,1179-1993,Adis,English,1,33,6,Hybrid (Open Choice),
Pharmaceutical Research,PE C,11095,0724-8741,1573-904X,Springer,English,1,36,12,Hybrid (Open Choice),
PharmacoEconomics,PE OF,40273,1170-7690,1179-2027,Adis,English,1,37,12,Hybrid (Open Choice),
The Pharmacogenomics Journal,PE,41397,1470-269X,1473-1150,Springer Nature,English,1,19,6,Hybrid (Open Choice),Online version only available through an institutional license. 
Phenomenology and the Cognitive Sciences,PE OF,11097,1568-7759,1572-8676,Springer,English,1,18,5,Hybrid (Open Choice),
Philosophia,PE OF,11406,0048-3893,1574-9274,Springer,English,1,47,5,Hybrid (Open Choice),
Philosophical Studies,PE OF,11098,0031-8116,1573-0883,Springer,English,1,176,12,Hybrid (Open Choice),
Philosophy of Management,PE OF,40926,1740-3812,2052-9597,Springer,English,1,18,3,Hybrid (Open Choice),
Philosophy & Technology,PE OF,13347,2210-5433,2210-5441,Springer,English,1,32,4,Hybrid (Open Choice),
Photonic Network Communications,PE OF,11107,1387-974X,1572-8188,Springer,English,2,37-38,3,Hybrid (Open Choice),
Photosynthesis Research,PE OF S,11120,0166-8595,1573-5079,Springer,English,4,139-142,3,Hybrid (Open Choice),
Physics and Chemistry of Minerals,PE OF S,269,0342-1791,1432-2021,Springer,English,1,46,10,Hybrid (Open Choice),
Physics in Perspective,PE OF,16,1422-6944,1422-6960,Birkhäuser,English,1,21,4,Hybrid (Open Choice),
Physiology and Molecular Biology of Plants,PE OF,12298,0971-5894,0974-0430,Springer,English,1,25,6,Hybrid (Open Choice),
Phytochemistry Reviews,PE OF S,11101,1568-7767,1572-980X,Springer,English,1,18,6,Hybrid (Open Choice),
Phytoparasitica,PE OF S,12600,0334-2123,1876-7184,Springer,English,1,47,5,Hybrid (Open Choice),
Pituitary,PE OF,11102,1386-341X,1573-7403,Springer,English,1,22,6,Hybrid (Open Choice),
Place Branding and Public Diplomacy,PE OF,41254,1751-8040,1751-8059,Palgrave Macmillan,English,1,15,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Plant Biotechnology Reports,E OF S,11816,,1863-5474,Springer,English,1,13,6,Hybrid (Open Choice),Print subscription no longer available. 
Plant Cell Reports,PE OF S,299,0721-7714,1432-203X,Springer,English,1,38,12,Hybrid (Open Choice),
"Plant Cell, Tissue and Organ Culture (PCTOC)",PE OF S,11240,0167-6857,1573-5044,Springer,English,4,136-139,3,Hybrid (Open Choice),
Plant Ecology,PE OF,11258,1385-0237,1573-5052,Springer,English,1,220,12,Hybrid (Open Choice),
Plant Foods for Human Nutrition,PE OF,11130,0921-9668,1573-9104,Springer,English,1,74,4,Hybrid (Open Choice),
Plant Growth Regulation,PE OF,10725,0167-6903,1573-5087,Springer,English,3,87-89,3,Hybrid (Open Choice),
Plant Molecular Biology,PE OF S,11103,0167-4412,1573-5028,Springer,English,3,99-101,6,Hybrid (Open Choice),
Plant Molecular Biology Reporter,PE OF S,11105,0735-9640,1572-9818,Springer,English,1,37,6,Hybrid (Open Choice),
Plant Reproduction,PE OF S,497,2194-7953,2194-7961,Springer,English,1,32,4,Hybrid (Open Choice),
Plant and Soil,PE OF,11104,0032-079X,1573-5036,Springer,English,12,434-445,2,Hybrid (Open Choice),
Plant Systematics and Evolution,PE OF S,606,0378-2697,2199-6881,Springer,English,1,305,10,Hybrid (Open Choice),
Planta,PE OF S,425,0032-0935,1432-2048,Springer,English,2,249-250,6,Hybrid (Open Choice),
Plasma Chemistry and Plasma Processing,PE OF,11090,0272-4324,1572-8986,Springer,English,1,39,6,Hybrid (Open Choice),
Plasmonics,E OF S,11468,,1557-1963,Springer,English,1,14,6,Hybrid (Open Choice),
Der Pneumologe,PE OF S,10405,1613-5636,1613-6055,SpringerMedizin,German,1,16,6,Hybrid (Open Choice),
Polar Biology,PE OF,300,0722-4060,1432-2056,Springer,English,1,42,12,Hybrid (Open Choice),
Policy Sciences,PE OF,11077,0032-2687,1573-0891,Springer,English,1,52,4,Hybrid (Open Choice),
Political Behavior,PE OF,11109,0190-9320,1573-6687,Springer,English,1,41,4,Hybrid (Open Choice),
Politische Vierteljahresschrift,PE OF S,11615,0032-3470,1862-2860,Springer VS,German,1,60,4,Hybrid (Open Choice),Erratum Journals List: Amendment of Carriage Charges. Take-over in 2018. Former publisher: Nomos. 
Polymer Bulletin,PE OF,289,0170-0839,1436-2449,Springer,English,1,76,12,Hybrid (Open Choice),
Polymer Journal,PE,41428,0032-3896,1349-0540,Springer Nature,English,1,51,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Polytechnica,PE,41050,2520-8497,2520-8063,Springer,English,1,2,2,Hybrid (Open Choice),New Start in 2018. 
Population and Environment,PE OF,11111,0199-0039,1573-7810,Springer,English,1,41,4,Hybrid (Open Choice),
Population Research and Policy Review,PE OF,11113,0167-5923,1573-7829,Springer,English,1,38,6,Hybrid (Open Choice),
Portuguese Economic Journal,PE OF,10258,1617-982X,1617-9838,Springer,English,1,18,3,Hybrid (Open Choice),
Positivity,PE OF,11117,1385-1292,1572-9281,Birkhäuser,English,1,23,5,Hybrid (Open Choice),
Postdigital Science and Education,PE OF,42438,2524-485X,2524-4868,Springer,English,1,1,2,Hybrid (Open Choice),New Start in 2019. 
postmedieval,PE OF,41280,2040-5960,2040-5979,Palgrave Macmillan,English,1,10,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Potato Research,PE OF S,11540,0014-3065,1871-4528,Springer,English,1,62,4,Hybrid (Open Choice),
Potential Analysis,PE OF,11118,0926-2601,1572-929X,Springer,English,2,50-51,4,Hybrid (Open Choice),
Prävention und Gesundheitsförderung,PE OF S,11553,1861-6755,1861-6763,Springer,German,1,14,4,Hybrid (Open Choice),
Precision Agriculture,PE OF,11119,1385-2256,1573-1618,Springer,English,1,20,6,Hybrid (Open Choice),
Prevention Science,PE OF,11121,1389-4986,1573-6695,Springer,English,1,20,8,Hybrid (Open Choice),
Primates,PE OF S,10329,0032-8332,1610-7365,Springer,English,1,60,6,Hybrid (Open Choice),
Probability Theory and Related Fields,PE OF S,440,0178-8051,1432-2064,Springer,English,3,173-175,4,Hybrid (Open Choice),
Probiotics and Antimicrobial Proteins,E OF,12602,,1867-1314,Springer,English,1,11,4,Hybrid (Open Choice),
ProCare,PE,735,0949-7323,1613-7574,SpringerMedizin,German,1,24,10,Hybrid (Open Choice),Erratum Journals List: Price amendment. Special price for postage & handling for customers in Austria. 
"Proceedings of the National Academy of Sciences, India Section A: Physical Sciences",PE OF,40010,0369-8203,2250-1762,Springer,English,1,89,4,Hybrid (Open Choice),
"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",PE OF,40011,0369-8211,2250-1746,Springer,English,1,89,4,Hybrid (Open Choice),
Proceedings of the Zoological Society,PE OF,12595,0373-5893,0974-6919,Springer,English,1,72,4,Hybrid (Open Choice),
Process Integration and Optimization for Sustainability,PE,41660,2509-4238,2509-4246,Springer,English,1,3,4,Hybrid (Open Choice),
Production Engineering,PE OF,11740,0944-6524,1863-7353,Springer,English,1,13,6,Hybrid (Open Choice),
Progress in Additive Manufacturing,PE OF,40964,2363-9512,2363-9520,Springer,English,1,4,4,Hybrid (Open Choice),
Progress in Artificial Intelligence,PE OF,13748,2192-6352,2192-6360,Springer,English,1,8,4,Hybrid (Open Choice),
PROSPECTS,PE OF,11125,0033-1538,1573-9090,Springer,English,1,49,4,Hybrid (Open Choice),
Prostate Cancer and Prostatic Diseases,PE,41391,1365-7852,1476-5608,Springer Nature,English,1,22,4,Hybrid (Open Choice),Online version only available through an institutional license. 
The Protein Journal,PE OF S,10930,1572-3887,1573-4943,Springer,English,1,38,6,Hybrid (Open Choice),
Protoplasma,PE OF S,709,0033-183X,1615-6102,Springer,English,1,256,6,Hybrid (Open Choice),
Psychiatric Quarterly,PE OF,11126,0033-2720,1573-6709,Springer,English,1,90,4,Hybrid (Open Choice),
Psychological Injury and Law,E OF,12207,,1938-9728,Springer,English,1,12,4,Hybrid (Open Choice),
The Psychological Record,PE,40732,0033-2933,2163-3452,Springer,English,1,69,4,Hybrid (Open Choice),
Psychological Research,PE,426,0340-0727,1430-2772,Springer,English,1,83,8,Hybrid (Open Choice),
Psychological Studies,PE OF,12646,0033-2968,0974-9861,Springer,English,1,64,4,Hybrid (Open Choice),
Psychometrika,PE OF,11336,0033-3123,1860-0980,Springer,English,1,84,4,Hybrid (Open Choice),
Psychonomic Bulletin & Review,PE OF S,13423,1069-9384,1531-5320,Springer,English,1,26,6,Hybrid (Open Choice),
Psychopharmacology,PE OF S,213,0033-3158,1432-2072,Springer,English,1,236,12,Hybrid (Open Choice),
psychopraxis. neuropraxis,PE OF,739,2197-9707,2197-9715,SpringerMedizin,German,1,22,6,Hybrid (Open Choice),Special price for postage & handling for customers in Austria. 
Psychotherapeut,PE OF S,278,0935-6185,1432-2080,SpringerMedizin,German,1,64,6,Hybrid (Open Choice),
Psychotherapie Forum,E OF,729,,1613-7604,SpringerMedizin,German,1,23,4,Hybrid (Open Choice),Available in electronic format only. 
Public Choice,PE OF,11127,0048-5829,1573-7101,Springer,English,4,178-181,4,Hybrid (Open Choice),
Public Organization Review,PE OF,11115,1566-7170,1573-7098,Springer,English,1,19,4,Hybrid (Open Choice),
Public Transport,E,12469,,1613-7159,Springer,English,1,11,3,Hybrid (Open Choice),
Publishing Research Quarterly,PE OF,12109,1053-8801,1936-4792,Springer,English,1,35,4,Hybrid (Open Choice),
Publizistik,PE OF,11616,0033-4006,1862-2569,Springer VS,German,1,64,4,Hybrid (Open Choice),
Pure and Applied Geophysics,PE OF,24,0033-4553,1420-9136,Birkhäuser,English,1,176,12,Hybrid (Open Choice),
Purinergic Signalling,E OF S,11302,,1573-9546,Springer,English,1,15,4,Hybrid (Open Choice),
Qualitative Sociology,PE OF,11133,0162-0436,1573-7837,Springer,English,1,42,4,Hybrid (Open Choice),
Qualitative Theory of Dynamical Systems,PE,12346,1575-5460,1662-3592,Birkhäuser,English,1,18,3,Hybrid (Open Choice),
Quality of Life Research,PE OF,11136,0962-9343,1573-2649,Springer,English,1,28,12,Hybrid (Open Choice),
Quality & Quantity,PE OF,11135,0033-5177,1573-7845,Springer,English,1,53,6,Hybrid (Open Choice),
Quality and User Experience,PE C,41233,2366-0139,2366-0147,Springer,English,1,4,1,Hybrid (Open Choice),
Quantitative Biology,E OF,40484,,2095-4697,"Higher Education Press, co-published with Springer",English,1,7,4,Hybrid (Open Choice),All content freely available. Chinese Library of Science. 
Quantitative Marketing and Economics,PE OF,11129,1570-7156,1573-711X,Springer,English,1,17,4,Hybrid (Open Choice),
Quantum Information Processing,PE C,11128,1570-0755,1573-1332,Springer,English,1,18,12,Hybrid (Open Choice),
Quantum Machine Intelligence,PE OF,42484,2524-4906,2524-4914,Springer,English,1,1,4,Hybrid (Open Choice),New Start in 2019. 
Quantum Studies: Mathematics and Foundations,PE OF,40509,2196-5609,2196-5617,Birkhäuser,English,1,6,4,Hybrid (Open Choice),
Queueing Systems,PE OF,11134,0257-0130,1572-9443,Springer,English,3,91-93,4,Hybrid (Open Choice),
Race and Social Problems,PE OF,12552,1867-1748,1867-1756,Springer,English,1,11,4,Hybrid (Open Choice),
Radiation Detection Technology and Methods,PE C,41605,2509-9930,2509-9949,Springer,English,1,3,4,Hybrid (Open Choice),Chinese Library of Science. 
Radiation and Environmental Biophysics,PE OF S,411,0301-634X,1432-2099,Springer,English,1,58,4,Hybrid (Open Choice),
Der Radiologe,PE OF S,117,0033-832X,1432-2102,SpringerMedizin,German,1,59,12,Hybrid (Open Choice),
La radiologia medica,E OF S,11547,,1826-6983,Springer,English,1,124,12,Hybrid (Open Choice),
Radiological Physics and Technology,PE OF S,12194,1865-0333,1865-0341,Springer,English,1,12,4,Hybrid (Open Choice),
The Ramanujan Journal,PE OF,11139,1382-4090,1572-9303,Springer,English,3,48-50,3,Hybrid (Open Choice),
Rare Metals,PE OF,12598,1001-0521,1867-7185,"Nonferrous Metals Society of China, co-published with Springer",English,1,38,12,Hybrid (Open Choice),Chinese Library of Science. 
"Reaction Kinetics, Mechanisms and Catalysis",PE OF,11144,1878-5190,1878-5204,"Akadémiai Kiadó, co-published with Springer",English,3,126-128,2,Hybrid (Open Choice),
Reading and Writing,PE OF,11145,0922-4777,1573-0905,Springer,English,1,32,9,Hybrid (Open Choice),
Real-Time Systems,PE OF,11241,0922-6443,1573-1383,Springer,English,1,55,4,Hybrid (Open Choice),
Rechtsmedizin,PE OF S,194,0937-9819,1434-5196,SpringerMedizin,German,1,29,6,Hybrid (Open Choice),
Regenerative Engineering and Translational Medicine,PE OF,40883,2364-4133,2364-4141,Springer,English,1,5,4,Hybrid (Open Choice),
Regional Environmental Change,PE OF S,10113,1436-3798,1436-378X,Springer,English,1,19,8,Hybrid (Open Choice),
Remote Sensing in Earth Systems Sciences,PE,41976,2520-8195,2520-8209,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
Rendiconti del Circolo Matematico di Palermo Series 2,PE OF,12215,0009-725X,1973-4409,Springer,English,1,68,3,Hybrid (Open Choice),
Rendiconti Lincei. Scienze Fisiche e Naturali,PE OF S,12210,2037-4631,1720-0776,Springer,English,1,30,4,Hybrid (Open Choice),
Requirements Engineering,PE OF,766,0947-3602,1432-010X,Springer,English,1,24,4,Hybrid (Open Choice),
Res Publica,PE OF,11158,1356-4765,1572-8692,Springer,English,1,25,4,Hybrid (Open Choice),
Research on Biomedical Engineering,E,42600,,2446-4740,Springer,English,1,35,4,Hybrid (Open Choice),Erratum Journals List: Print subscription not available. Take-over in 2019. Former publisher: Sociedade Brasileira de Engenharia Biomédica. Available in electronic format only. 
Research on Chemical Intermediates,PE OF S,11164,0922-6168,1568-5675,Springer,English,1,45,12,Hybrid (Open Choice),
Research in Engineering Design,PE OF,163,0934-9839,1435-6066,Springer,English,1,30,4,Hybrid (Open Choice),
Research in Higher Education,PE OF,11162,0361-0365,1573-188X,Springer,English,1,60,8,Hybrid (Open Choice),
Research in the Mathematical Sciences,PE C,40687,2522-0144,2197-9847,Springer,English,1,6,4,Hybrid (Open Choice),
Research in Number Theory,PE C,40993,2522-0160,2363-9555,Springer,English,1,5,4,Hybrid (Open Choice),
Research in Science Education,PE OF,11165,0157-244X,1573-1898,Springer,English,1,49,6,Hybrid (Open Choice),
Results in Mathematics,PE C,25,1422-6383,1420-9012,Birkhäuser,English,1,74,4,Hybrid (Open Choice),
Review of Accounting Studies,PE OF,11142,1380-6653,1573-7136,Springer,English,1,24,4,Hybrid (Open Choice),
"Review of Agricultural, Food and Environmental Studies",PE OF,41130,2425-6870,2425-6897,Springer,English,1,100,4,Hybrid (Open Choice),
The Review of Austrian Economics,PE OF,11138,0889-3047,1573-7128,Springer,English,1,32,4,Hybrid (Open Choice),
Review of Derivatives Research,PE OF,11147,1380-6645,1573-7144,Springer,English,1,22,3,Hybrid (Open Choice),
Review of Economic Design,PE OF,10058,1434-4742,1434-4750,Springer,English,1,23,4,Hybrid (Open Choice),
Review of Economics of the Household,PE OF,11150,1569-5239,1573-7152,Springer,English,1,17,4,Hybrid (Open Choice),
Review of Industrial Organization,PE OF,11151,0889-938X,1573-7160,Springer,English,2,54-55,4,Hybrid (Open Choice),
The Review of International Organizations,PE OF,11558,1559-7431,1559-744X,Springer,English,1,14,4,Hybrid (Open Choice),
Review Journal of Autism and Developmental Disorders,PE OF,40489,2195-7177,2195-7185,Springer,English,1,6,4,Hybrid (Open Choice),
Review of Managerial Science,PE OF,11846,1863-6683,1863-6691,Springer,English,1,13,5,Hybrid (Open Choice),
Review of Philosophy and Psychology,E OF,13164,,1878-5166,Springer,English,1,10,4,Hybrid (Open Choice),
Review of Quantitative Finance and Accounting,PE OF,11156,0924-865X,1573-7179,Springer,English,2,52-53,4,Hybrid (Open Choice),
Review of Regional Research,PE OF,10037,0173-7600,1613-9836,Springer,English,1,39,2,Hybrid (Open Choice),
Review of Religious Research,PE OF,13644,0034-673X,2211-4866,Springer,English,1,61,4,Hybrid (Open Choice),
